name,selling_price,km_driven,year
 YZF R15 S,75000.0,36000,2018
 FZ S V 2.0,75000.0,20000,2017
 FZ 16,75000.0,18000,2017
 CB Hornet 160R,75000.0,11000,2019
 Karizma ZMR,75000.0,11000,2015
 Avenger 150,75000.0,7000,2018
 Avenger 220,72000.0,500,2018
 CB Hornet 160R,70000.0,35000,2017
 Access 125,70000.0,7000,2018
 YZF R15 S,70000.0,8000,2016
 CB Hornet 160R,70000.0,28000,2017
 YZF R15 S,70000.0,16000,2017
 CB Hornet 160R,70000.0,35000,2017
 CB Hornet 160R,70000.0,13000,2017
 CB Hornet 160R,70000.0,7000,2018
 CB Hornet 160R,70000.0,38000,2017
 CB Unicorn 150,70000.0,18000,2017
 Gixxer ,69000.0,20000,2017
 Pulsar AS200,65000.0,33000,2015
 Avenger ,65000.0,20000,2010
 Avenger ,65000.0,26000,2015
 Xtreme Sports,65000.0,23000,2017
 Apache RTR 160,65000.0,11800,2019
 Fazer FI V 2.0 ,65000.0,3500,2018
 Pulsar 150,65000.0,5000,2017
 CBR 150,65000.0,23500,2016
 Extrem,65000.0,16000,2015
 Pulsar 180,65000.0,26000,2018
 Fazer FI V 2.0 ,65000.0,23000,2015
 Achiever 150,65000.0,29000,2016
 YZF R15 ,65000.0,11000,2013
 CB Hornet 160R,65000.0,30000,2016
 Pulsar AS200,65000.0,15856,2015
 Gixxer ,62000.0,15000,2017
 CB Shine SP,62000.0,10000,2019
 FZ S V 2.0,60000.0,14500,2017
 CB Unicorn 150,60000.0,12652,2017
 Avenger Street 220,60000.0,29000,2016
 FZ V 2.0,60000.0,25000,2018
 Avenger Street 220,60000.0,17000,2016
 Avenger Street 150 ,60000.0,30000,2017
 Avenger Street 150 ,60000.0,25000,2016
 Gixxer ,60000.0,16000,2016
 FZ16,60000.0,29950,2016
 YZF R15 ,60000.0,22000,2012
 Apache RTR 160,60000.0,19000,2014
 Pulsar 180,60000.0,28563,2015
 CBR 150,60000.0,32000,2015
 Pulsar  NS 200,60000.0,25000,2016
 Avenger 220 dtsi,60000.0,16600,2017
 Avenger 150 street,60000.0,20000,2018
 FZ  v 2.0,60000.0,25000,2018
 FZ  v 2.0,60000.0,29000,2017
 CB Hornet 160R,60000.0,16500,2017
 CB Hornet 160R,60000.0,15000,2018
 Xtreme Sports,58000.0,21000,2016
 Aviator,57000.0,6465,2018
 Cygnus Ray ZR,56000.0,3900,2019
Honda Activa 125 ,55000.0,18000,2018
 Extrem,55000.0,15000,2016
 Glamour 125,55000.0,2500,2017
 CB Unicorn 150,55000.0,10000,2014
 Gixxer ,55000.0,25000,2015
Honda Activa 5G,55000.0,9000,2019
 Fascino 110,55000.0,7000,2019
Honda Activa 5G,55000.0,10000,2019
 CB Unicorn 150,55000.0,12000,2017
 CB Hornet 160R,55000.0,14000,2017
 CB Hornet 160R,54786.0,25000,2016
 Glamour 125,54000.0,17000,2013
Honda Activa 5G,51000.0,14000,2018
 Pulsar 220 F,51000.0,24000,2018
 Karizma ,50000.0,38000,2013
 Passion PRO i3s,50000.0,18000,2017
 YZF R15 ,50000.0,1200,2014
 Pulsar 180,50000.0,30000,2014
 CB Shine SP,50000.0,34300,2017
 FZ S V 2.0,50000.0,20000,2015
 SZ-S,50000.0,20000,2014
 Apache RTR 180,50000.0,6000,2013
 Karizma ,50000.0,38000,2013
Honda Activa 125 ,50000.0,27000,2017
 Glamour 125,50000.0,8600,2017
 Xtreme 2014,50000.0,10000,2014
Honda Activa 3G,50000.0,5326,2016
 FZ S V 2.0,50000.0,40000,2016
 Discover 125,50000.0,6000,2018
 Passion X p,50000.0,31000,2018
Honda Activa 5G,50000.0,25000,2018
 Pulsar 180,50000.0,20500,2017
 CB Unicorn 150,50000.0,17000,2013
 Avenger Street 150 ,50000.0,32000,2016
 CB Shine SP,50000.0,37000,2018
 Pulsar NS 200,50000.0,13000,2014
 LX 125,50000.0,3909,2015
 Fazer,50000.0,8000,2016
Honda Activa 3G,50000.0,6000,2016
Honda Activa 5G,50000.0,14000,2018
 CB Unicorn 150,50000.0,27000,2016
 V15,50000.0,9000,2017
 Pulsar AS150,50000.0,5000,2015
 Glamour FI,50000.0,20000,2018
 Avenger Street 150 ,50000.0,40000,2016
 CB Unicorn 150,50000.0,32000,2014
 Dream Yug,48000.0,8600,2019
 Dream Yug,48000.0,7110,2018
 FZ S V 2.0,48000.0,23000,2017
 Sport,48000.0,15000,2019
Honda Activa 4G,48000.0,4300,2019
 CB Shine SP,48000.0,25000,2015
 FZ16,48000.0,20000,2016
Honda Activa 3G,47999.0,6000,2016
 Dream Yug,47000.0,8800,2019
Honda Activa 5G,46000.0,10000,2018
 Maestro Edg,46000.0,14000,2015
 Passion P,45000.0,1000,2018
 Gixxer ,45000.0,40000,2015
 Pulsar 135 LS,45000.0,22000,2017
 Discover 125 M,45000.0,40000,2014
Honda Activa 4G,45000.0,4000,2019
 Avenger Street 220,45000.0,24000,2013
 Dream Yug,45000.0,26000,2017
 V15,45000.0,36000,2016
 Apache RTR 180,45000.0,23000,2016
 Pulsar NS 200,45000.0,14500,2014
Honda Activa 4G,45000.0,25000,2018
 FZ S ,45000.0,24000,2015
 Glamour 125,45000.0,18000,2017
 Avenger 220 dtsi,45000.0,27000,2012
 Splender iSmart,45000.0,14000,2018
 CB Unicorn 160,45000.0,15000,2015
 3g,45000.0,500,2018
 Passion XP,45000.0,7000,2018
 V12,45000.0,35000,2017
 Glamour 125,45000.0,21000,2018
 V15,45000.0,2700,2015
 Avenger ,45000.0,35000,2011
 Karizma 2014,45000.0,5555,2014
 CB Trigger,45000.0,20000,2013
 CB Trigger,45000.0,36000,2015
 FZ16,45000.0,37000,2016
Honda Activa 3G,45000.0,18000,2015
 Pulsar 135 LS,45000.0,14000,2014
 Wego,45000.0,10000,2018
 Passion PRO TR,45000.0,36000,2014
 Duet,45000.0,35000,2017
 Discover 125,45000.0,20000,2016
Honda Activa 3G,42000.0,20000,2015
 Passion X Pro ,42000.0,15500,2016
 Dream Ne,42000.0,21000,2014
Honda Activa 5G,42000.0,22000,2018
 CB Unicorn 150,42000.0,38000,2013
 CB Trigger,42000.0,12000,2015
 CB Shine SP,42000.0,19800,2017
 V15,42000.0,19500,2016
 V15,42000.0,35000,2016
Honda Activa 125 ,42000.0,30514,2016
 Navi ,42000.0,24000,2017
 CB Shine SP,41000.0,33000,2017
 Aviator,41000.0,36500,2013
 FZ S V 2.0,40000.0,25000,2015
 FZ S,40000.0,5500,2014
 Karizma 2014,40000.0,30000,2013
Honda Activa 125 ,40000.0,26000,2017
 Splendor iSmart,40000.0,19055,2015
 Pulsar 180,40000.0,34000,2013
 Glamour 125,40000.0,15000,2016
 Fazer ,40000.0,34500,2013
 Splendor iSmart,40000.0,10000,2015
 Pleasu,40000.0,14000,2014
Honda Activa 3G,40000.0,36000,2015
 FZ S ,40000.0,27785,2014
 Splendor PRO,40000.0,16000,2016
Honda Activa 3G,40000.0,3000,2015
Honda Activa 3G,40000.0,7672,2015
 Saluto RX,40000.0,27000,2017
 Passion P,40000.0,6700,2017
 Pulsar 135 LS,40000.0,15000,2018
 Avenger Street 150 ,40000.0,29689,2016
 4g,40000.0,1300,2019
 Fazer ,40000.0,7353,2012
 V15,40000.0,34000,2016
 Splender iSmart,40000.0,14000,2017
 Maestro Edg,40000.0,15000,2017
 Pulsar 135 LS,40000.0,13700,2016
Honda Activa i ,40000.0,11000,2017
 Discover 125,38000.0,34000,2018
 Fascino 110,38000.0,37000,2016
 Achiever 150,38000.0,26000,2017
 CB Unicor,38000.0,38600,2017
 Saluto,38000.0,15000,2015
 Duet,37000.0,6000,2016
 Karizma ZMR,37000.0,27500,2010
 Ignit,36000.0,23000,2016
 YBR 125,36000.0,20400,2014
 Ignit,35000.0,33200,2014
 Karizm,35000.0,30000,2013
 Splendor PRO,35000.0,35280,2015
 Hunk,35000.0,32000,2016
 Jupyter,35000.0,19000,2016
 Karizma 2014,35000.0,26000,2013
 SZ RR V 2.0,35000.0,38000,2015
 Avenger ,35000.0,15000,2012
 Passion PRO TR,35000.0,9556,2014
 Discover 150S,35000.0,28000,2015
 FZ V 2.0,35000.0,13500,2014
 FZ16,35000.0,32000,2015
Honda Activa ,35000.0,10000,2014
 Dream Yug,35000.0,10000,2014
 Dream Yug,35000.0,39448,2015
 CBF Stunner,35000.0,15888,2013
Honda Activa ,35000.0,29500,2013
 Pulsar 180,35000.0,19000,2009
 Ray Z,35000.0,15500,2015
 Xtreme 2014,35000.0,15000,2013
 YBR 125,35000.0,20350,2013
 Avenger ,35000.0,30000,2011
 Passion PRO i3s,35000.0,18000,2016
Honda Activa ,35000.0,29000,2012
 Radeon,35000.0,20000,2017
 Fazer ,35000.0,15500,2011
 Discover 150,35000.0,12000,2015
Honda Activa 125,35000.0,24000,2018
Honda Activa i ,35000.0,29000,2016
 Let''s,34000.0,8000,2014
Honda Activa 3G,32000.0,4500,2015
 Pulsar 180,32000.0,40000,2012
 Dream Yug,32000.0,39000,2017
 Discover 100 M,32000.0,30000,2014
 Glamour FI,30900.0,25000,2014
 CB Twister,30000.0,9000,2013
 Swish ,30000.0,30000,2014
 CB Trigger,30000.0,40000,2015
Honda Activa 3G,30000.0,39000,2015
 Pulsar 180,30000.0,17500,2009
 Pleasu,30000.0,24000,2013
 XL 100,30000.0,8000,2017
 Pleasu,30000.0,25000,2013
 Pleasure ,30000.0,25000,2013
 Aviator,30000.0,7000,2014
 CB Unicorn 150,30000.0,32000,2012
 Access 125 ,30000.0,23000,2012
Honda Activa ,30000.0,25000,2014
Honda Activa ,30000.0,22000,2012
 Discover 150F,30000.0,12000,2015
 Scooty Zest 110,30000.0,9432,2017
 Ignit,30000.0,18000,2016
 CB Shine,30000.0,30000,2015
Honda Activa 3G,30000.0,18000,2015
 Aviator,28000.0,28087,2013
 Scooty Zest 110,28000.0,32800,2015
 Aviator,28000.0,29625,2009
 Splendor PRO,28000.0,38000,2015
 GS150R,27000.0,14100,2012
 Duet,27000.0,28000,2016
 Discover 100,27000.0,21000,2015
 Pleasu,26500.0,18860,2013
 Navi ,26000.0,17450,2016
 Access 125,25000.0,1900,2010
 Wego,25000.0,22000,2012
 CB twister,25000.0,32000,2015
 Glamou,25000.0,18000,2015
 Passion XP,25000.0,25000,2013
 Dream Yug,25000.0,35000,2012
Honda Activa ,25000.0,17860,2007
Honda Activa 3G,25000.0,20000,2011
 Dream Yug,25000.0,29000,2013
Honda Activa ,25000.0,40000,2012
 CB Twister,25000.0,35000,2015
 Discover 150,25000.0,25000,2008
Honda Activa ,25000.0,38000,2012
 Gusto,25000.0,13500,2016
 Discover 100 T,25000.0,30000,2014
 CB Unicorn Dazzler,25000.0,40000,2011
 Karizma 2014,25000.0,40000,2015
Honda Activa ,25000.0,25000,2015
 FZ16,25000.0,40000,2008
 Discover 100 T,25000.0,26000,2013
 Xtreme ,25000.0,24000,2013
 Discover 100,24000.0,31000,2014
 Navi ,23000.0,17450,2016
Honda Activa ,22000.0,38000,2014
 CB Unicorn Dazzler,22000.0,38350,2011
 Discover 100,22000.0,14289,2014
 Pulsar 180,20100.0,36000,2008
 Discover 100 T,20000.0,20000,2013
 Discover 100 M,20000.0,37734,2011
 Hunk,20000.0,35000,2010
 Rodeo,20000.0,7000,2013
 Style,20000.0,10000,2011
 Splendor NXG,18000.0,35000,2011
Honda Activa ,18000.0,28000,2011
  ct 100,18000.0,35000,2017
 Discover 125 ST,17500.0,38000,2013
 CB twister,16000.0,33000,2012
 Access 125 ,16000.0,40000,2011
 Star City,15000.0,40000,2006
 Discover 125,15000.0,32000,2011
