id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,company
71,TVS Apache RTR 160,35000.0,2013,individual,1st ,55750,0.0,TVS
72,Bajaj Pulsar AS200,65000.0,2015,individual,1st ,15856,92074.0,Bajaj
73,Bajaj Pulsar 150,29500.0,2013,individual,1st ,27000,0.0,Bajaj
74,Royal Enfield Thunderbird 350X,165000.0,2019,individual,1st ,3700,164004.0,Royal Enfield
75,Suzuki Intruder 150,95000.0,2018,individual,1st ,21938,0.0,Suzuki
77,Honda Dio,7500.0,2009,individual,2nd ,16000,0.0,Honda
78,Bajaj Xcd,25000.0,2008,individual,1st ,54000,0.0,Bajaj
79,Hero Splendor Plus,35000.0,2014,individual,2nd ,35000,0.0,Hero
80,Royal Enfield Thunderbird 350X,160000.0,2018,individual,1st ,15000,0.0,Royal Enfield
81,Honda CB Unicorn 150,50000.0,2014,individual,1st ,32000,74295.0,Honda
82,Honda Activa 5G,62000.0,2019,individual,1st ,3500,57557.0,Activa
83,Honda CB Twister,30000.0,2013,individual,1st ,9000,53857.0,Honda
84,Hero Splendor PRO,28000.0,2015,individual,1st ,38000,49642.0,Hero
86,Honda Activa i [2016-2017],30000.0,2015,individual,2nd ,20000,51112.0,Activa
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,individual,1st ,22000,148114.0,Royal Enfield
88,TVS Scooty Zest 110,30000.0,2017,individual,1st ,9432,53751.0,TVS
89,Hero CD Deluxe,25000.0,2014,individual,1st ,70000,0.0,Hero
90,Suzuki Access 125 [2007-2016],22000.0,2010,individual,2nd ,43000,58314.0,Suzuki
91,Honda Activa [2000-2015],22989.0,2012,individual,1st ,500000,50267.0,Activa
92,Honda Activa 125 [2016-2017],42000.0,2016,individual,1st ,30514,61653.0,Activa
93,Suzuki GS150R,30000.0,2010,individual,1st ,130000,70851.0,Suzuki
94,Bajaj Pulsar 220S,55000.0,2015,individual,1st ,45000,0.0,Bajaj
95,Honda Activa 4G,45000.0,2018,individual,1st ,25000,53079.0,Activa
96,Yamaha FZ25,150000.0,2019,individual,1st ,2500,133680.0,Yamaha
97,Bajaj Pulsar 150,42000.0,2015,individual,1st ,22770,0.0,Bajaj
98,Hero Splendor Plus,30000.0,2015,individual,1st ,30000,0.0,Hero
99,Bajaj Discover 100,24999.0,2012,individual,2nd ,35000,42859.0,Bajaj
100,Royal Enfield Thunderbird 350X,160000.0,2019,individual,1st ,6330,0.0,Royal Enfield
101,Royal Enfield Classic 350,175000.0,2020,individual,1st ,500,0.0,Royal Enfield
102,Bajaj Pulsar 150,40000.0,2013,individual,1st ,43400,0.0,Bajaj
103,Bajaj Pulsar NS160,85000.0,2018,individual,1st ,7004,0.0,Bajaj
104,Royal Enfield Classic Desert Storm,150000.0,2017,individual,1st ,16500,181445.0,Royal Enfield
105,Suzuki Gixxer SF,80000.0,2018,individual,1st ,12500,0.0,Suzuki
106,TVS Apache RTR 200 4V,95000.0,2018,individual,1st ,9600,0.0,TVS
107,Bajaj V15,42000.0,2016,individual,1st ,35000,65626.0,Bajaj
108,TVS XL 100 Heavy Duty,40000.0,2019,individual,1st ,11000,0.0,TVS
109,Yamaha FZ S V 2.0,50000.0,2015,individual,1st ,20000,84042.0,Yamaha
110,Hero HF Deluxe,40000.0,2018,individual,1st ,13000,0.0,Hero
111,Aprilia SR 125,75000.0,2019,individual,1st ,3500,0.0,Aprilia
112,Yamaha FZ25,120000.0,2017,individual,1st ,9000,132680.0,Yamaha
114,Bajaj Discover 125 ST,17500.0,2013,individual,1st ,38000,58438.0,Bajaj
116,Honda Aviator,57000.0,2018,individual,1st ,6465,61118.0,Honda
117,Vespa SXL 149,80000.0,2018,individual,1st ,18803,0.0,Vespa
118,TVS Scooty Pep Plus,18000.0,2010,individual,1st ,20000,0.0,TVS
119,Hero Xtreme [2013-2014],25000.0,2013,individual,1st ,24000,75936.0,Hero
120,Royal Enfield Thunderbird 350,83900.0,2014,individual,2nd ,22000,0.0,Royal Enfield
121,UM Renegade Commando,160000.0,2018,individual,1st ,7000,180525.0,UM
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,individual,1st ,6100,148114.0,Royal Enfield
123,Honda CB Hornet 160R,55000.0,2017,individual,1st ,14000,87543.0,Honda
124,Honda Shine,50000.0,2017,individual,1st ,23000,0.0,Honda
125,Bajaj Discover 100,20000.0,2012,individual,1st ,85000,42859.0,Bajaj
127,Royal Enfield Classic 350,125000.0,2017,individual,1st ,18000,0.0,Royal Enfield
128,Honda Activa 5G,55000.0,2019,individual,1st ,10000,57557.0,Activa
129,Bajaj Avenger Street 150 [2018],50000.0,2016,individual,1st ,40000,80435.0,Bajaj
130,Royal Enfield Continental GT 650,299000.0,2019,individual,1st ,1500,0.0,Royal Enfield
131,Honda Activa 3G,60000.0,2015,individual,1st ,30000,54605.0,Activa
132,Honda Activa 3G,40000.0,2015,individual,1st ,3000,54605.0,Activa
133,Bajaj Pulsar 180,15000.0,2008,individual,1st ,55000,85011.0,Bajaj
134,Harley-Davidson Street Bob,750000.0,2013,individual,2nd ,12000,1278000.0,Harley-Davidson
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,individual,1st ,500,155740.0,Royal Enfield
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,individual,1st ,50000,202127.0,KTM
138,Honda CB Hornet 160R,54786.0,2016,individual,1st ,25000,88161.0,Honda
139,KTM 200 Duke,72000.0,2013,individual,1st ,36500,0.0,KTM
140,Hero Karizma 2014,35000.0,2013,individual,1st ,26000,86744.0,Hero
141,Hero Glamour 125,45000.0,2017,individual,1st ,18000,61600.0,Hero
142,Royal Enfield Classic 350,85000.0,2013,individual,1st ,49000,0.0,Royal Enfield
143,Royal Enfield Classic 500,100000.0,2013,individual,1st ,18000,156304.0,Royal Enfield
144,Bajaj Dominar 400,138000.0,2017,individual,1st ,15000,0.0,Bajaj
145,Royal Enfield Thunderbird 350X,150000.0,2018,individual,1st ,8500,0.0,Royal Enfield
146,KTM RC 390,180000.0,2017,individual,1st ,3775,0.0,KTM
147,Royal Enfield Thunderbird 350,100000.0,2015,individual,1st ,14500,0.0,Royal Enfield
148,Hero Hunk,20000.0,2010,individual,1st ,35000,78513.0,Hero
149,KTM 390 Duke,170000.0,2017,individual,1st ,14000,0.0,KTM
150,Suzuki Gixxer [2014-2018],60000.0,2016,individual,1st ,16000,84246.0,Suzuki
151,Royal Enfield Bullet 350,123000.0,2016,individual,1st ,7000,0.0,Royal Enfield
152,Suzuki Access 125,60000.0,2017,individual,1st ,4000,0.0,Suzuki
153,TVS Apache RTR 200 4V,100000.0,2017,individual,1st ,45000,0.0,TVS
154,Hero Xtreme Sports,22000.0,2014,individual,1st ,99000,78350.0,Hero
155,Honda Activa [2000-2015],30000.0,2014,individual,1st ,52000,50267.0,Activa
156,Bajaj Discover 125,28000.0,2013,individual,1st ,45000,60122.0,Bajaj
157,Bajaj Pulsar 150,50000.0,2007,individual,1st ,52000,0.0,Bajaj
158,Yamaha Saluto RX,40000.0,2017,individual,1st ,27000,49521.0,Yamaha
159,Hero HF Deluxe,43000.0,2018,individual,1st ,60000,0.0,Hero
160,Suzuki Access 125,40000.0,2015,individual,1st ,2300,0.0,Suzuki
161,Royal Enfield Classic Desert Storm,100000.0,2012,individual,1st ,15000,181445.0,Royal Enfield
162,Hero HF Deluxe,30000.0,2016,individual,1st ,50000,0.0,Hero
163,KTM RC 200,130000.0,2017,individual,1st ,27000,0.0,KTM
164,Honda CB Hornet 160R,48000.0,2016,individual,2nd ,25000,88161.0,Honda
165,Bajaj CT 100,32000.0,2017,individual,1st ,40000,0.0,Bajaj
167,Bajaj Pulsar 135 LS,20000.0,2010,individual,2nd ,50000,64589.0,Bajaj
168,Royal Enfield Classic 350,125000.0,2017,individual,1st ,36000,0.0,Royal Enfield
169,Honda Navi [2016-2017],23000.0,2016,individual,1st ,17450,44389.0,Honda
170,Bajaj Discover 125,15000.0,2011,individual,1st ,32000,57549.0,Bajaj
171,Yamaha SZ RR V 2.0,35000.0,2015,individual,1st ,38000,69983.0,Yamaha
172,Bajaj Discover 150,25000.0,2014,individual,2nd ,71000,54299.0,Bajaj
173,Bajaj Pulsar 150,80000.0,2019,individual,1st ,8000,0.0,Bajaj
174,TVS Flame,15000.0,2010,individual,1st ,12000,0.0,TVS
175,Vespa VX 125,45000.0,2013,individual,2nd ,50000,72303.0,Vespa
176,Yamaha SZ X,25000.0,2012,individual,2nd ,30000,65800.0,Yamaha
177,Honda CBF Stunner,35000.0,2013,individual,1st ,15888,58757.0,Honda
178,Bajaj Discover 100 T,25000.0,2013,individual,1st ,26000,47032.0,Bajaj
179,Royal Enfield Classic 350,170000.0,2018,individual,1st ,5600,0.0,Royal Enfield
180,Honda Activa [2000-2015],25000.0,2014,individual,1st ,41000,50267.0,Activa
181,Royal Enfield Electra 5 S,60000.0,2007,individual,2nd ,19612,0.0,Royal Enfield
182,Bajaj Pulsar 150,41000.0,2012,individual,1st ,17000,0.0,Bajaj
183,Honda Shine,35000.0,2012,individual,1st ,33700,0.0,Honda
184,Honda CB Unicorn 160,75000.0,2015,individual,1st ,100000,79233.0,Honda
185,Honda Activa 3G,47999.0,2016,individual,1st ,6000,54605.0,Activa
186,Honda Shine,36999.0,2011,individual,1st ,21000,0.0,Honda
187,Bajaj Pulsar 180,25000.0,2007,individual,1st ,80000,85011.0,Bajaj
188,Suzuki Gixxer SF,60000.0,2016,individual,1st ,15000,0.0,Suzuki
189,Honda CB Unicorn 150,50000.0,2007,individual,1st ,46000,74295.0,Honda
190,Yamaha YZF R15 [2011-2018],65000.0,2013,individual,1st ,11000,118997.0,Yamaha
191,TVS Sport,12000.0,2007,individual,1st ,72000,0.0,TVS
192,Bajaj Pulsar AS200,60000.0,2015,individual,1st ,50000,92074.0,Bajaj
193,Honda Activa [2000-2015],20000.0,2010,individual,1st ,50000,50267.0,Activa
194,Yamaha FZ16,27000.0,2011,individual,1st ,67000,78712.0,Yamaha
195,Bajaj Boxer,10000.0,2000,individual,1st ,30000,0.0,Bajaj
198,Bajaj Avenger Cruise 220,87000.0,2018,individual,1st ,8000,0.0,Bajaj
199,Yamaha Ray Z,35000.0,2015,individual,1st ,15500,52949.0,Yamaha
200,Bajaj Pulsar 180,35000.0,2012,individual,1st ,45000,85011.0,Bajaj
201,Bajaj Discover 150F,40000.0,2014,individual,2nd ,60855,64071.0,Bajaj
202,Bajaj Pulsar 135 LS,56000.0,2017,individual,3rd ,37714,64589.0,Bajaj
203,Bajaj Pulsar 180,30000.0,2008,individual,2nd ,60000,85011.0,Bajaj
204,Honda Activa 125 [2016-2017],40000.0,2017,individual,1st ,26000,61545.0,Activa
205,Hero HF Deluxe,60000.0,2019,individual,1st ,6000,0.0,Hero
206,Hero Karizma 2014,40000.0,2013,individual,1st ,30000,86744.0,Hero
207,Bajaj Platina 100,40000.0,2018,individual,1st ,17000,0.0,Bajaj
208,Royal Enfield Bullet 500,130000.0,2015,individual,1st ,34601,168482.0,Royal Enfield
209,Bajaj Pulsar AS200,45000.0,2015,individual,1st ,48000,92074.0,Bajaj
210,Yamaha FZ S [2012-2016],42000.0,2013,individual,1st ,60000,79432.0,Yamaha
211,Bajaj Pulsar 220 Fi,25000.0,2012,individual,1st ,44000,0.0,Bajaj
212,Bajaj Pulsar 150,15000.0,2006,individual,1st ,55000,0.0,Bajaj
213,Bajaj Dominar 400 [2018],170000.0,2018,individual,1st ,16000,163331.0,Bajaj
214,Hero Passion X Pro [2016-2017],38000.0,2016,individual,2nd ,20000,59095.0,Hero
215,Yamaha FZ S V 2.0,60000.0,2015,individual,2nd ,17500,84042.0,Yamaha
216,TVS Apache RTR 160,65000.0,2017,individual,1st ,46000,0.0,TVS
217,Bajaj Avenger [2015],35000.0,2011,individual,1st ,30000,75502.0,Bajaj
218,Bajaj Pulsar 150,70000.0,2019,individual,1st ,6500,0.0,Bajaj
220,Hero Splendor iSmart,50000.0,2017,individual,2nd ,10000,52271.0,Hero
221,Royal Enfield Classic 350,145000.0,2017,individual,1st ,2200,0.0,Royal Enfield
222,Yamaha FZ16,25000.0,2008,individual,1st ,40000,78712.0,Yamaha
223,Hero Xtreme Sports,58000.0,2016,individual,1st ,21000,80350.0,Hero
224,Royal Enfield Bullet 350 [2007-2011],90000.0,2007,individual,1st ,3500,0.0,Royal Enfield
226,Bajaj Discover 150S,40000.0,2014,individual,1st ,50000,63331.0,Bajaj
227,TVS Scooty Zest 110,28000.0,2015,individual,1st ,32800,52372.0,TVS
228,Bajaj Avenger Street 150 [2018],50000.0,2016,individual,1st ,32000,80435.0,Bajaj
229,Yamaha Cygnus Ray ZR,56000.0,2019,individual,1st ,3900,58630.0,Yamaha
230,Honda Activa [2000-2015],35000.0,2014,individual,1st ,10000,50267.0,Activa
231,TVS Apache RTR 200 4V,95000.0,2018,individual,1st ,9600,0.0,TVS
232,Honda Shine,30000.0,2010,individual,1st ,46782,0.0,Honda
233,Honda CB Hornet 160R,95000.0,2019,individual,1st ,8000,94703.0,Honda
234,Honda Activa i [2016-2017],40000.0,2017,individual,1st ,11000,53436.0,Activa
235,Hero Karizma 2014,30000.0,2014,individual,2nd ,51000,86744.0,Hero
236,Bajaj Discover 100 T,18000.0,2013,individual,1st ,45000,47032.0,Bajaj
237,Honda Aviator,14000.0,2008,individual,1st ,66000,59183.0,Honda
238,Hero Splendor Plus,17000.0,2010,individual,2nd ,50000,0.0,Hero
239,Royal Enfield Thunderbird 350,125000.0,2017,individual,1st ,23500,0.0,Royal Enfield
240,Bajaj CT 110,20000.0,2015,individual,1st ,25000,0.0,Bajaj
241,Hero Passion PRO i3s,50000.0,2017,individual,1st ,41000,56925.0,Hero
242,KTM RC 390,210000.0,2017,individual,1st ,12000,0.0,KTM
243,Bajaj Pulsar 220F,70000.0,2018,individual,1st ,33000,0.0,Bajaj
244,Hero Maestro Edge,40000.0,2017,individual,1st ,15000,55980.0,Hero
245,Bajaj Xcd,10000.0,2008,individual,1st ,50000,0.0,Bajaj
246,Bajaj Pulsar 150,35000.0,2010,individual,1st ,40000,0.0,Bajaj
247,TVS Centra,10000.0,2005,individual,1st ,50000,0.0,TVS
248,Honda Activa 3G,42000.0,2015,individual,1st ,20000,54605.0,Activa
249,Yamaha FZ16,20000.0,2009,individual,1st ,50000,78712.0,Yamaha
250,Hero Maestro Edge,25000.0,2017,individual,1st ,55000,52790.0,Hero
251,Bajaj Discover 125,25000.0,2016,individual,1st ,70350,60122.0,Bajaj
252,Royal Enfield Thunderbird 350X,145000.0,2019,individual,1st ,2700,164004.0,Royal Enfield
253,Hero Super Splendor,50000.0,2016,individual,1st ,20000,0.0,Hero
254,TVS Scooty Pep Plus,30000.0,2011,individual,1st ,20000,0.0,TVS
255,Yamaha FZ V 2.0,60000.0,2014,individual,1st ,41311,81508.0,Yamaha
257,Hero CD Deluxe,15000.0,2014,individual,2nd ,34000,0.0,Hero
259,Hero HF Deluxe i3s,54000.0,2019,individual,1st ,11000,0.0,Hero
260,Bajaj Xcd,25000.0,2007,individual,1st ,75000,0.0,Bajaj
261,Royal Enfield Interceptor 650,260000.0,2019,individual,1st ,1200,0.0,Royal Enfield
262,Honda CBR-250R,100000.0,2014,individual,1st ,19000,199275.0,Honda
263,Bajaj Kristal,15000.0,2007,individual,1st ,30000,0.0,Bajaj
265,Honda Dream Yuga,35000.0,2014,individual,1st ,10000,56147.0,Honda
266,Yamaha FZ S V 2.0,50000.0,2016,individual,1st ,40000,87042.0,Yamaha
267,Hero Xpulse 200,90000.0,2019,individual,1st ,8600,107500.0,Hero
268,Bajaj V15,40000.0,2016,individual,1st ,45000,67187.0,Bajaj
269,Bajaj Avenger Street 220,80000.0,2016,individual,1st ,7200,95955.0,Bajaj
270,Bajaj Discover 135,20000.0,2010,individual,1st ,31195,0.0,Bajaj
271,Honda CB Unicorn 150,70000.0,2017,individual,1st ,18000,74295.0,Honda
272,Vespa SXL 149,98000.0,2019,individual,1st ,1000,0.0,Vespa
273,Royal Enfield Machismo,75000.0,2008,individual,2nd ,17000,0.0,Royal Enfield
274,Honda CB Shine SP,50000.0,2016,individual,1st ,46000,67214.0,Honda
275,Honda CB Unicorn 150,40000.0,2014,individual,1st ,77592,74295.0,Honda
276,Honda CB Unicorn 150,75000.0,2013,individual,1st ,54000,74295.0,Honda
277,Honda CB Unicorn 150,50000.0,2013,individual,1st ,17000,74295.0,Honda
278,Bajaj Pulsar 150,60000.0,2014,individual,1st ,60000,0.0,Bajaj
279,TVS Apache RTR 160,50000.0,2016,individual,1st ,40000,0.0,TVS
280,Honda Dio,35000.0,2014,individual,1st ,25000,0.0,Honda
281,Royal Enfield Thunderbird 350,160000.0,2018,individual,1st ,19000,0.0,Royal Enfield
282,Hero Maestro,25000.0,2015,individual,2nd ,40000,49412.0,Hero
284,Bajaj Dominar 400,200000.0,2019,individual,1st ,7600,0.0,Bajaj
285,Honda Activa 125,40000.0,2014,individual,1st ,14965,0.0,Activa
286,Royal Enfield Classic Desert Storm,130000.0,2015,individual,2nd ,25000,181445.0,Royal Enfield
287,KTM 250 Duke,195000.0,2019,individual,1st ,6000,0.0,KTM
288,KTM RC 390,270000.0,2019,individual,1st ,2380,0.0,KTM
289,Kawasaki Ninja 650 [2018-2019],425000.0,2017,individual,2nd ,13600,599000.0,Kawasaki
290,TVS Apache RTR 200 4V,85000.0,2018,individual,1st ,10000,0.0,TVS
291,Kawasaki Ninja 250R,125000.0,2010,individual,2nd ,21000,317934.0,Kawasaki
292,TVS Wego,45000.0,2018,individual,1st ,10000,54760.0,TVS
293,Honda CBR-250R,85000.0,2014,individual,2nd ,18600,171646.0,Honda
294,Bajaj Pulsar NS200,85000.0,2018,individual,1st ,7750,0.0,Bajaj
295,Suzuki GSX S750,760000.0,2019,individual,1st ,2800,752020.0,Suzuki
296,Royal Enfield Thunderbird 350,100000.0,2015,individual,1st ,30000,0.0,Royal Enfield
297,Royal Enfield Classic 350,95000.0,2015,individual,1st ,9800,0.0,Royal Enfield
298,Honda CB Shine SP,48000.0,2015,individual,1st ,25000,67469.0,Honda
299,Bajaj Avenger Street 150 [2018],40000.0,2016,individual,1st ,29689,80435.0,Bajaj
300,Honda CBF Stunner,37000.0,2014,individual,1st ,43000,58757.0,Honda
301,Bajaj Avenger [2015],38000.0,2014,individual,2nd ,28243,75502.0,Bajaj
302,Suzuki Gixxer [2014-2018],55000.0,2015,individual,1st ,25000,78316.0,Suzuki
303,Suzuki Access 125,45000.0,2017,individual,1st ,22300,0.0,Suzuki
304,TVS Scooty Streak,18000.0,2009,individual,2nd ,33595,44140.0,TVS
305,Royal Enfield Thunderbird 350X,140000.0,2018,individual,1st ,5505,0.0,Royal Enfield
306,Yamaha Rx,70000.0,2000,individual,3rd ,5000,0.0,Yamaha
308,Bajaj Pulsar 125,65000.0,2019,individual,1st ,16000,0.0,Bajaj
309,Honda Activa 5G,42000.0,2018,individual,1st ,22000,57557.0,Activa
310,Yamaha Fazer Dlx,58000.0,2012,individual,1st ,40000,0.0,Yamaha
311,Harley-Davidson Street 750,330000.0,2014,individual,4th ,6500,534000.0,Harley-Davidson
312,Hero Xtreme 2014,35000.0,2013,individual,1st ,15000,72973.0,Hero
313,Royal Enfield Classic 350,162000.0,2018,individual,1st ,17365,0.0,Royal Enfield
315,Royal Enfield Interceptor 650,285000.0,2019,individual,1st ,5500,0.0,Royal Enfield
316,Royal Enfield Classic 350,125000.0,2017,individual,1st ,33900,0.0,Royal Enfield
317,Bajaj Pulsar 150 [2001-2011],15000.0,2005,individual,1st ,47670,0.0,Bajaj
318,Honda Activa [2000-2015],29500.0,2013,individual,1st ,45000,50267.0,Activa
319,TVS Apache RR310,200000.0,2019,individual,1st ,5000,0.0,TVS
320,Jawa Standard,160000.0,2019,individual,1st ,5700,0.0,Jawa
322,Yamaha FZ25,110000.0,2019,individual,1st ,10000,133680.0,Yamaha
323,Bajaj Pulsar 220F,70000.0,2016,individual,1st ,31000,0.0,Bajaj
324,Yamaha Fascino 110,69000.0,2019,individual,1st ,1600,57112.0,Yamaha
325,Yamaha FZ16,30000.0,2011,individual,1st ,44000,78712.0,Yamaha
326,Yamaha FZ16,30000.0,2010,individual,1st ,70000,78712.0,Yamaha
327,TVS Star City Plus,42000.0,2017,individual,1st ,21000,0.0,TVS
328,Royal Enfield Classic 350,160000.0,2018,individual,1st ,17365,0.0,Royal Enfield
329,Bajaj Pulsar 135 LS,20000.0,2010,individual,1st ,80000,64589.0,Bajaj
330,Suzuki Access 125,45000.0,2017,individual,1st ,15000,0.0,Suzuki
331,Bajaj Pulsar 135 LS,23000.0,2010,individual,1st ,77000,64589.0,Bajaj
332,UM Renegade Commando,140000.0,2017,individual,2nd ,40000,180525.0,UM
334,Hero Passion PRO i3s,50000.0,2017,individual,1st ,18000,56925.0,Hero
335,Royal Enfield Classic 350,140000.0,2018,individual,1st ,20000,0.0,Royal Enfield
336,Honda Activa 5G,55000.0,2019,individual,1st ,9000,59422.0,Activa
337,Yamaha Fascino 110,45000.0,2016,individual,1st ,56000,54500.0,Yamaha
338,Hero Splendor Plus,25000.0,2012,individual,1st ,50000,0.0,Hero
339,Royal Enfield Thunderbird 350,90000.0,2014,individual,1st ,12000,0.0,Royal Enfield
340,Yamaha YZF R15 V3,120000.0,2018,individual,1st ,11500,0.0,Yamaha
341,KTM RC 200,120000.0,2015,individual,1st ,20000,0.0,KTM
342,TVS Radeon,35000.0,2017,individual,1st ,20000,66492.0,TVS
343,Hero HF Deluxe,35000.0,2017,individual,1st ,27000,0.0,Hero
344,BMW G310GS,300000.0,2018,individual,1st ,2500,349000.0,BMW
345,Royal Enfield Thunderbird 350,87000.0,2012,individual,1st ,20477,0.0,Royal Enfield
347,Yamaha FZ S V 2.0,50000.0,2014,individual,1st ,70000,84042.0,Yamaha
348,Bajaj Avenger Street 220,60000.0,2016,individual,1st ,29000,95955.0,Bajaj
350,Bajaj Platina 100,30000.0,2018,individual,1st ,37000,0.0,Bajaj
351,Royal Enfield Thunderbird 350X,160000.0,2018,individual,1st ,3246,0.0,Royal Enfield
